"","wavelandCount","wavedashCount","airDodgeCount","neutralWinRatioCount","dashDanceCount","openingsPerKillRatio","rollCount","counterHitRatio","spotDodgeCount","damagePerOpeningRatio","killCount","conversionCount","opponentId","stageId","totalDamage","characterId","inputsPerMinuteRatio"
"473",9,13,4,13,35,5.5,5,0.428571429,0,23.20368091,4,22,9,2,510.4809799,20,406.201232
"474",0,33,2,7,27,5,6,0.470588235,3,32.39466019,3,15,9,28,485.9199028,14,258.7231137
"475",2,18,1,6,13,6,3,0.545454545,1,23.13834031,2,12,9,8,277.6600838,14,283.4491214
"476",5,54,2,22,44,8.5,8,0.407407407,5,17.99617476,4,34,9,3,611.8699417,14,262.5703054
"477",1,9,1,3,13,NA,4,0.5,0,16.8400007,0,7,20,3,117.8800049,20,395.8079268
"478",0,11,0,8,31,6,0,0.363636364,1,20.57333374,2,12,20,2,246.8800049,20,451.0999614
"479",0,0,0,0,5,NA,0,NA,0,NA,0,0,20,31,0,20,720
"480",2,13,0,11,25,4.75,4,0.727272727,1,18.11510267,4,19,20,3,344.1869507,20,480.7681117
"481",1,37,2,10,52,4,1,0.6,0,21.37884796,4,16,19,32,342.0615673,20,484.6941096
"482",4,22,1,10,37,4.75,1,0.642857143,3,17.70629381,4,19,20,8,336.4195824,20,476.9847973
"483",3,42,5,18,80,9,2,0.4,3,18.92518446,3,27,19,28,510.9799805,20,467.8828249
"484",0,6,0,1,1,6,1,0.666666667,1,17.50333405,1,6,19,32,105.0200043,20,435.5460385
"485",4,27,5,11,25,6.333333333,0,0.444444444,1,18.3731582,3,19,19,8,349.0900059,20,443.270538
"486",0,2,0,4,13,NA,0,0,0,15.06999969,0,4,15,31,60.27999878,2,289.3528184
"487",4,24,3,17,8,5.75,6,0.333333333,9,19.46608701,4,23,9,31,447.7200012,19,310.694864
"488",4,32,3,19,9,6,7,0.333333333,4,19.70208359,4,24,9,8,472.8500061,19,327.2454591
