stats_overall_1_counterHitRatio_ratio,stats_actionCounts_1_wavedashCount,stats_actionCounts_0_wavelandCount,stats_overall_1_openingsPerKill_ratio,stats_overall_0_inputCount,stats_overall_0_openingsPerKill_count,stats_overall_1_totalDamage,stats_actionCounts_0_wavedashCount,stats_overall_1_killCount,stats_actionCounts_1_airDodgeCount,stats_actionCounts_0_airDodgeCount,stats_overall_0_inputsPerMinute_count,stats_overall_1_inputCount,stats_overall_0_neutralWinRatio_count,stats_overall_1_neutralWinRatio_count,stats_actionCounts_0_dashDanceCount,stats_overall_0_openingsPerKill_ratio,stats_actionCounts_0_rollCount,stats_overall_0_counterHitRatio_ratio,stats_actionCounts_0_spotDodgeCount,stats_overall_1_conversionCount,stats_overall_1_beneficialTradeRatio_count,stats_overall_0_damagePerOpening_ratio,stats_overall_1_damagePerOpening_ratio,stats_actionCounts_1_dashDanceCount,stats_overall_0_killCount,stats_overall_0_conversionCount,stats_overall_0_beneficialTradeRatio_count,settings_players_1_characterId,stats_actionCounts_1_wavelandCount,settings_stageId,stats_overall_1_inputsPerMinute_count,stats_overall_0_totalDamage,stats_actionCounts_1_rollCount,stats_actionCounts_1_spotDodgeCount,stats_overall_1_inputsPerMinute_ratio,settings_players_0_characterId,stats_overall_0_inputsPerMinute_ratio,stats_overall_1_openingsPerKill_count,stats_overall_1_inputsPerMinute_total,stats_overall_0_inputsPerMinute_total
0.625,9,3,6,1050,10,277.2100067,36,2,2,0,1050,697,7,7,18,2.5,4,0.375,4,12,0,38.52000027,23.10083389,5,4,10,0,19,9,31,697,385.2000027,3,0,276.8619662,20,417.0804369,12,2.5175,2.5175
0.428571429,14,7,7.5,1094,21,331.3920021,3,2,2,2,1094,1214,13,9,19,5.25,5,0.571428571,4,15,0,28.93603407,22.09280014,10,4,21,0,25,23,31,1214,607.6567154,6,2,347.7402928,12,313.367282,15,3.491111111,3.491111111
0.571428571,13,5,3.25,825,16,271.0700073,10,4,3,0,825,769,12,8,7,5.333333333,3,0.428571429,1,13,0,18.08499885,20.85153902,38,3,16,1,2,6,31,769,289.3599815,3,3,393.2945021,20,421.9349339,13,1.955277778,1.955277778
0.5,21,2,5.666666667,1281,23,402.9700089,10,3,2,2,1281,1333,14,8,20,5.75,1,0.5,2,17,0,27.51937004,23.70411817,8,4,23,0,25,11,2,1333,632.9455109,7,0,363.8210766,12,349.6285064,17,3.663888889,3.663888889
0.785714286,6,8,12,933,18,193.7899933,17,1,4,3,933,754,15,1,13,4.5,3,0.214285714,1,12,0,23.34111023,16.14916611,20,4,18,0,2,6,28,754,420.1399841,1,0,360.717608,20,446.3521595,12,2.090277778,2.090277778
0.538461538,21,12,3.75,839,17,314.5405045,17,4,5,0,839,845,11,8,16,5.666666667,0,0.461538462,1,15,0,16.60058874,20.96936696,46,3,17,0,2,5,8,845,282.2100086,2,3,402.5939651,20,399.7353097,15,2.098888889,2.098888889
0.25,16,10,3,754,12,129.630002,14,3,3,3,754,613,5,6,3,3,1,0.75,0,9,1,32.45416768,14.40333356,35,4,12,0,2,3,8,613,389.4500122,1,2,345.514326,20,424.9882574,9,1.774166667,1.774166667
0.541666667,28,9,9,1243,26,432.5899849,15,3,6,3,1243,1123,14,13,13,6.5,0,0.458333333,3,27,1,21.5592308,16.02185129,44,4,26,0,2,4,3,1123,560.5400009,1,1,357.5168023,20,395.7198444,27,3.141111111,3.141111111
0.6,3,4,None,709,14,119.0300064,24,0,0,0,709,416,8,3,33,3.5,0,0.4,0,11,0,22.0228578,10.82090967,9,4,14,2,2,0,32,416,308.3200092,1,1,285.583524,20,486.7276888,11,1.456666667,1.456666667
0.625,13,14,5,921,15,330.6700134,17,3,2,2,921,852,11,9,14,3.75,3,0.375,0,15,1,29.47533366,22.04466756,28,4,15,0,2,6,2,852,442.1300049,7,1,350.2969392,20,378.6660576,15,2.432222222,2.432222222
0.555555556,13,10,3.333333333,854,17,195.5599976,14,3,3,4,854,639,12,4,19,4.25,2,0.444444444,0,10,0,23.48353038,19.55599976,26,4,17,1,2,3,2,639,399.2200165,2,0,333.9236464,20,446.276673,10,1.913611111,1.913611111
0.545454545,14,10,3.666666667,842,16,202.3100004,10,3,6,0,842,776,10,4,19,4,2,0.454545455,2,11,1,24.09500098,18.39181822,36,4,16,0,2,6,31,776,385.5200157,2,1,392.5249403,20,425.9097935,11,1.976944444,1.976944444
0.411764706,41,3,4.75,800,19,367.4500084,19,4,1,1,800,1102,9,12,45,6.333333333,3,0.588235294,1,19,0,19.75894752,19.33947413,66,3,19,0,2,2,32,1102,375.4200029,4,7,382.8235067,9,277.9118016,19,2.878611111,2.878611111
0.4,19,1,5.666666667,763,21,352.1299973,17,3,3,3,763,960,12,11,57,5.25,1,0.6,1,17,0,23.36619023,20.71352925,44,4,21,0,2,6,3,960,490.6899948,5,1,340.5261602,9,270.6473544,17,2.819166667,2.819166667
0.333333333,13,4,3.25,524,14,257.7399979,7,4,0,2,524,725,7,9,22,7,3,0.666666667,1,13,1,19.79285703,19.82615368,30,2,14,0,2,7,8,725,277.0999985,1,3,368.3839097,9,266.2526464,13,1.968055556,1.968055556
0.666666667,9,1,1.25,238,7,173.8041878,8,4,0,0,238,289,5,1,20,None,0,0.333333333,0,5,0,10.36428615,34.76083755,24,0,7,0,15,0,31,289,72.55000305,3,1,357.0350034,2,294.0288264,5,0.809444444,0.809444444
0.315789474,13,6,7.5,731,23,293.8700027,8,2,1,0,731,862,10,9,28,5.75,4,0.684210526,1,15,0,20.00043488,19.59133352,30,4,23,0,2,9,28,862,460.0100021,3,5,331.396839,9,281.0337463,15,2.601111111,2.601111111
0.470588235,8,5,7.666666667,875,18,376.9139481,17,3,2,2,875,1099,8,14,34,4.5,1,0.529411765,1,23,0,24.16333347,16.38756296,19,4,18,1,15,6,8,1099,434.9400024,9,3,371.3534823,9,295.6636005,23,2.959444444,2.959444444
0.476190476,24,4,7.666666667,954,27,427.3900528,23,3,6,1,954,1301,16,13,58,6.75,6,0.523809524,1,23,0,20.91518515,18.58217621,70,4,27,0,2,5,3,1301,564.7099991,2,2,378.9320388,9,277.8640777,23,3.433333333,3.433333333
