id,wavelandCount,inputsPerMinuteTotal,inputCount,openingsPerKillCount,wavedashCount,airDodgeCount,inputsPerMinuteCount,neutralWinRatioCount,dashDanceCount,openingsPerKillRatio,rollCount,counterHitRatio,spotDodgeCount,damagePerOpeningRatio,killCount,conversionCount,beneficialTradeRatioCount,opponentId,stageId,totalDamage,characterId,inputsPerMinuteRatio
64,1,0.809444444,238,7,8,0,238,5,20,None,0,0.333333333,0,10.36428615,0,7,0,15,31,72.55000305,2,294.0288264
65,6,2.601111111,731,23,8,0,731,10,28,5.75,4,0.684210526,1,20.00043488,4,23,0,2,28,460.0100021,9,281.0337463
66,5,2.959444444,875,18,17,2,875,8,34,4.5,1,0.529411765,1,24.16333347,4,18,1,15,8,434.9400024,9,295.6636005
67,4,3.433333333,954,27,23,1,954,16,58,6.75,6,0.523809524,1,20.91518515,4,27,0,2,3,564.7099991,9,277.8640777
68,3,2.636944444,872,18,19,0,872,8,79,9,1,0.4,3,18.28994412,2,18,0,15,28,329.2189941,2,330.6857685
69,2,2.036388889,530,14,19,0,530,9,35,7,3,0.555555556,1,21.25142779,2,14,0,15,2,297.519989,9,260.2646297
70,4,2.628333333,748,18,13,1,748,11,46,6,6,0.4375,0,23.21166653,3,18,0,15,2,417.8099976,9,284.5909956
71,1,3.148611111,810,22,18,1,810,13,56,7.333333333,10,0.533333333,0,13.56607264,3,22,1,15,32,298.453598,9,257.2562858
72,1,3.634166667,995,25,30,1,995,16,41,8.333333333,6,0.391304348,2,18.13319977,3,25,0,15,32,453.3299942,9,273.790415
73,22,4.465833333,1249,28,27,2,1249,12,79,9.333333333,6,0.5,2,16.83785629,3,28,0,15,8,471.4599762,9,279.6790446
74,11,4.731944444,1298,33,38,3,1298,18,77,8.25,11,0.555555556,2,17.09404778,4,33,0,15,31,564.1035767,9,274.3058409
75,11,1.832222222,635,14,10,1,635,8,6,3.5,0,0.416666667,0,35.61214447,4,14,1,20,28,498.5700226,20,346.573681
76,3,1.969722222,582,16,10,2,582,9,2,5.333333333,0,0.5,4,27.59437466,3,16,0,20,2,441.5099945,20,295.473135
77,8,3.519166667,946,25,27,4,946,15,82,12.5,4,0.434782609,1,17.08000031,2,25,0,15,28,427.0000076,9,268.8136396
78,3,1.283888889,312,8,6,0,312,3,4,4,2,0.75,3,22.75000191,2,8,1,2,3,182.0000153,20,243.0116833
79,5,3.101944444,961,25,17,0,961,16,18,8.333333333,2,0.411764706,4,20.66840027,3,25,2,2,31,516.7100067,20,309.8056774
80,27,3.182777778,1256,17,20,5,1256,10,9,8.5,2,0.583333333,1,17.00176463,2,17,0,9,31,289.0299988,25,394.6238436
81,6,2.159444444,584,14,16,0,584,7,36,7,3,0.5,0,20.70871408,2,14,0,15,3,289.9219971,9,270.439928
82,15,2.493055556,937,10,14,2,937,6,6,10,0,0.333333333,0,19.33300018,1,10,0,9,8,193.3300018,25,375.8440111
83,25,3.714722222,1508,20,22,4,1508,11,10,5,3,0.636363636,1,15.09850092,4,20,2,9,8,301.9700184,25,405.9522919
84,1,2.624444444,1085,20,15,2,1085,12,12,5,0,0.538461538,0,25.90349884,4,20,0,0,28,518.0699768,20,413.4208298
85,4,1.586388889,595,10,2,1,595,5,5,2.5,0,0.625,2,30.83700027,4,10,0,0,31,308.3700027,20,375.0656628
86,1,3.046666667,1008,21,16,2,1008,13,52,5.25,4,0.5,0,19.83047667,4,21,0,7,32,416.4400101,0,330.8533917
87,3,2.810833333,1022,24,6,1,1022,12,2,8,1,0.5,3,17.15083408,3,24,0,25,8,411.620018,20,363.5932404
88,3,3.310833333,1292,24,8,1,1292,17,7,6,1,0.3,3,24.50750128,4,24,1,0,3,588.1800308,20,390.23408
89,5,2.042222222,701,15,31,1,701,12,6,3.75,3,0.666666667,3,25.7106664,4,15,1,0,28,385.659996,19,343.2535365
90,1,3.714722222,1288,29,8,1,1288,19,6,7.25,5,0.454545455,2,18.31655121,4,29,0,25,3,531.179985,20,346.7284828
91,4,3.609722222,1402,21,11,10,1402,15,34,5.25,5,0.315789474,0,24.22754052,4,21,0,9,8,508.7783508,12,388.3955367
92,13,3.310277778,1593,19,27,5,1593,9,14,4.75,5,0.473684211,0,25.71999881,4,19,1,20,31,488.6799774,20,481.2284971
93,19,2.802222222,1080,17,12,7,1080,9,23,4.25,1,0.538461538,3,21.8194432,4,17,1,0,8,370.9305344,25,385.408406
94,17,2.903333333,1279,21,16,4,1279,7,17,5.25,7,0.65,1,22.64476231,4,21,0,20,8,475.5400085,20,440.5281286
95,8,2.773888889,1146,16,11,5,1146,7,41,4,2,0.5625,1,29.87029076,4,16,0,9,31,477.9246521,12,413.1383938
96,8,2.646666667,1263,15,40,1,1263,11,60,3.75,0,0.5,2,24.43533223,4,15,0,9,2,366.5299835,2,477.2040302
97,6,2.822222222,1147,18,28,3,1147,13,52,6,1,0.416666667,2,19.14111159,3,18,0,9,31,344.5400085,2,406.4173228
98,5,3.046388889,1237,24,36,4,1237,13,51,6,1,0.45,4,19.04000092,4,24,0,9,32,456.960022,2,406.0545272
99,6,3.303055556,1382,22,34,2,1382,14,71,5.5,1,0.411764706,4,19.95863585,4,22,1,9,28,439.0899887,2,418.4004709
100,1,2.047777778,823,17,8,4,823,10,30,8.5,1,0.583333333,2,16.69126757,2,17,0,2,8,283.7515488,2,401.8990776
101,0,0.011388889,0,0,0,0,0,0,0,None,0,None,0,None,0,0,0,2,32,0,2,0
102,11,0.623333333,283,0,8,2,283,0,16,None,1,None,0,None,0,0,0,25,31,0,0,454.0106952
103,7,3.605833333,1493,29,16,5,1493,20,68,9.666666667,4,0.470588235,3,16.52103424,3,29,0,2,3,479.109993,2,414.0513058
104,4,2.813055556,986,17,22,2,986,10,37,5.666666667,2,0.7,2,19.14176402,3,17,0,2,2,325.4099884,9,350.5085415
105,11,2.743333333,873,14,5,3,873,7,39,7,2,0.538461538,1,19.18214321,2,14,0,25,8,268.550005,0,318.2260024
106,10,3.738611111,1223,24,12,4,1223,12,59,8,1,0.611111111,0,17.70833365,3,24,0,25,31,425.0000076,0,327.1268296
107,3,1.140833333,419,6,13,1,419,6,11,None,0,0,1,19.55833435,0,6,0,15,31,117.3500061,20,367.2753835
108,6,2.917777778,964,16,6,2,964,13,75,5.333333333,6,0.428571429,1,24.52937412,3,16,0,25,3,392.469986,0,330.3884235
109,13,0.553611111,382,0,39,1,382,0,11,None,0,None,2,None,0,0,0,15,31,0,14,690.0150527
110,25,3.756111111,1119,21,49,4,1119,14,0,21,7,0.428571429,1,10.98571414,1,21,1,12,31,230.6999969,14,297.9145097
111,12,4.386388889,1240,24,77,5,1240,12,6,12,12,0.75,2,13.53779125,2,24,0,12,3,324.9069901,14,282.692673
112,8,2.281388889,840,9,29,1,840,4,19,None,13,0.375,0,14.4966668,0,9,2,15,31,130.4700012,0,368.1967612
